RowNum,DumpTblNm,DumpFldNm,AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
,,,BIOG_INST_CODES,c_bi_role_code,Primary Key,Integer,False,,
,,,BIOG_INST_CODES,c_bi_role_desc,,Text,False,,
,,,BIOG_INST_CODES,c_notes,,Text,True,,
,,,BIOG_INST_DATA,c_bi_begin_year,,Integer,True,,
,,,BIOG_INST_DATA,c_bi_by_nh_code,,Integer,True,NIAN_HAO,c_nianhao_id
,,,BIOG_INST_DATA,c_bi_by_nh_year,,Integer,True,,
,,,BIOG_INST_DATA,c_bi_by_range,,Integer,True,YEAR_RANGE_CODES,c_range_code
,,,BIOG_INST_DATA,c_bi_end_year,,Integer,True,,
,,,BIOG_INST_DATA,c_bi_ey_nh_code,,Integer,True,NIAN_HAO,c_nianhao_id
,,,BIOG_INST_DATA,c_bi_ey_nh_year,,Integer,True,,
,,,BIOG_INST_DATA,c_bi_ey_range,,Integer,True,YEAR_RANGE_CODES,c_range_code
,,,BIOG_INST_DATA,c_bi_role_code,Primary Key,Integer,False,BIOG_INST_CODES,c_bi_role_code
,,,BIOG_INST_DATA,c_created_by,,Text,True,,
,,,BIOG_INST_DATA,c_created_date,,Date/Time,True,,
,,,BIOG_INST_DATA,c_inst_code,Primary Key,Integer,False,SOCIAL_INSTITUTION_CODES,c_inst_code
,,,BIOG_INST_DATA,c_inst_name_code,Primary Key,Integer,False,SOCIAL_INSTITUTION_CODES,c_inst_name_code
,,,BIOG_INST_DATA,c_modified_by,,Text,True,,
,,,BIOG_INST_DATA,c_modified_date,,Date/Time,True,,
,,,BIOG_INST_DATA,c_notes,,Memo,True,,
,,,BIOG_INST_DATA,c_pages,,Text,True,,
,,,BIOG_INST_DATA,c_personid,Primary Key,Long,False,BIOG_MAIN,c_personid
,,,BIOG_INST_DATA,c_source,,Long,True,TEXT_CODES,c_textid
111,biog_main,生年,BIOG_MAIN,c_birthyear,,Integer,True,,
143,biog_main,生年(日)(c_by_day),BIOG_MAIN,c_by_day,,Integer,True,,
145,biog_main,生年(日干支)(c_by_day_gz),BIOG_MAIN,c_by_day_gz,,Integer,True,GANZHI_CODES,c_ganzhi_code
139,biog_main,生年(閏)(c_by_intercalary),BIOG_MAIN,c_by_intercalary,,Binary,True,,
141,biog_main,生年(月)(c_by_month),BIOG_MAIN,c_by_month,,Integer,True,,
112,biog_main,生年(年號)(by_nh_code),BIOG_MAIN,c_by_nh_code,,Integer,True,nian_hao,c_nianhao_id
113,biog_main,生年(年)(by_nh_year),BIOG_MAIN,c_by_nh_year,,Integer,True,,
114,biog_main,生年時限(by_range),BIOG_MAIN,c_by_range,,Integer,True,year_range_codes,c_range_code
135,biog_main,郡望(choronym_code),BIOG_MAIN,c_choronym_code,,Integer,True,choronym_codes,c_choronym_code
,,,BIOG_MAIN,c_created_by,,Text,True,,
,,,BIOG_MAIN,c_created_date,,Date/Time,True,,
