AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
ENTRY_DATA,c_inst_name_code,Primary Key,Integer,False,,
ENTRY_DATA,c_exam_field,,Text,True,,
ENTRY_DATA,c_entry_addr_id,,Long,True,,
ENTRY_DATA,c_parental_status_code,,Integer,True,,
ENTRY_DATA,c_attempt_count,,Integer,True,,
ENTRY_DATA,c_source,,Long,True,,
ENTRY_DATA,c_pages,,Text,True,,
ENTRY_DATA,c_notes,,Memo,True,,
ENTRY_DATA,c_posting_notes,,Text,True,,
ENTRY_DATA,c_created_by,,Text,True,,
ENTRY_DATA,c_modified_by,,Text,True,,
ENTRY_DATA,c_created_date,,Date/Time,True,,
ENTRY_DATA,c_modified_date,,Date/Time,True,,
ENTRY_TYPES,c_entry_type,Primary Key,Text,False,,
ENTRY_TYPES,c_entry_type_desc,,Text,False,,
ENTRY_TYPES,c_entry_type_desc_chn,,Text,False,,
ENTRY_TYPES,c_entry_type_parent_id,,Text,True,,
ENTRY_TYPES,c_entry_type_level,,Double,True,,
ENTRY_TYPES,c_entry_type_sortorder,,Double,True,,
ETHNICITY_TRIBE_CODES,c_ethnicity_code,Primary Key,Integer,False,,
ETHNICITY_TRIBE_CODES,c_group_code,,Long,True,,
ETHNICITY_TRIBE_CODES,c_subgroup_code,,Long,True,,
ETHNICITY_TRIBE_CODES,c_altname_code,,Long,True,,
ETHNICITY_TRIBE_CODES,c_name_chn,,Text,True,,
ETHNICITY_TRIBE_CODES,c_name,,Text,True,,
ETHNICITY_TRIBE_CODES,c_ethno_legal_cat,,Text,True,,
ETHNICITY_TRIBE_CODES,c_romanized,,Text,True,,
ETHNICITY_TRIBE_CODES,c_surname,,Text,True,,
ETHNICITY_TRIBE_CODES,c_notes,,Memo,True,,
ETHNICITY_TRIBE_CODES,c_sortorder,,Integer,True,,
EVENT_CODES,c_event_code,Primary Key,Long,False,,
EVENT_CODES,c_event_name_chn,,Text,False,,
EVENT_CODES,c_event_name,,Text,True,,
EVENT_CODES,c_fy_yr,,Integer,True,,
EVENT_CODES,c_ly_yr,,Integer,True,,
EVENT_CODES,c_fy_nh_code,,Integer,True,,
EVENT_CODES,c_ly_nh_code,,Integer,True,,
EVENT_CODES,c_fy_nh_yr,,Integer,True,,
EVENT_CODES,c_ly_nh_yr,,Integer,True,,
EVENT_CODES,c_fy_intercalary,,Yes/No,True,,
EVENT_CODES,c_fy_month,,Integer,True,,
EVENT_CODES,c_ly_intercalary,,Yes/No,True,,
EVENT_CODES,c_ly_month,,Integer,True,,
EVENT_CODES,c_fy_range,,Integer,True,,
EVENT_CODES,c_ly_range,,Integer,True,,
EVENT_CODES,c_addr_id,,Long,True,,
EVENT_CODES,c_dy,,Integer,True,,
EVENT_CODES,c_source,,Long,True,,
EVENT_CODES,c_pages,,Text,True,,
EVENT_CODES,c_event_notes,,Text,True,,
EVENTS_ADDR,c_personid,Primary Key,Long,False,,
EVENTS_ADDR,c_event_code,Primary Key,Long,False,,
EVENTS_ADDR,c_sequence,Primary Key,Integer,False,,
EVENTS_ADDR,c_addr_id,Primary Key,Long,False,,
EVENTS_ADDR,c_year,,Integer,True,,
EVENTS_ADDR,c_nh_code,,Integer,True,,
EVENTS_ADDR,c_nh_year,,Integer,True,,
