AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
TMP_ADDR_E,belongs5_first_year,,Integer,True,,
TMP_ADDR_E,belongs5_last_year,,Integer,True,,
TMP_ADDR_E,c_delete,,Integer,True,,
TMP_BELONGS_TO,c_belongs_to,,Long,True,,
TMP_BELONGS_TO,c_addr_id,,Long,True,,
TMP_BELONGS_TO,c_name_chn,,Text,True,,
TMP_BELONGS_TO,c_firstyear,,Integer,True,,
TMP_DISTANCE_DATA,c_personid,,Long,False,,
TMP_DISTANCE_DATA,c_assoc_id,,Long,False,,
TMP_DISTANCE_DATA,x_coord,,Double,True,,
TMP_DISTANCE_DATA,y_coord,,Double,True,,
TMP_DISTANCE_DATA,assoc_xcoord,,Double,True,,
TMP_DISTANCE_DATA,assoc_ycoord,,Double,True,,
TMP_DISTANCE_DATA,c_t_dist,,Double,True,,
TMP_DISTANCE_DATA,c_distance,,Double,True,,
TMP_INDEX_YEAR,c_personid,Primary Key,Long,False,,
TMP_INDEX_YEAR,c_index_year,,Integer,True,,
TMP_INDEX_YEAR,c_index_year_source_id,,Long,True,,
YEAR_RANGE_CODES,c_range_code,Primary Key,Integer,False,,
YEAR_RANGE_CODES,c_range,,Text,False,,
YEAR_RANGE_CODES,c_range_chn,,Text,False,,
YEAR_RANGE_CODES,c_approx,,Text,True,,
YEAR_RANGE_CODES,c_approx_chn,,Text,True,,
ZZZ_ADDRESSES,c_addr_id,,Long,True,,
ZZZ_ADDRESSES,c_name,,Text,True,,
ZZZ_ADDRESSES,c_name_chn,,Text,True,,
ZZZ_ADDRESSES,c_admin_type,,Text,True,,
ZZZ_ADDRESSES,c_firstyear,,Integer,True,,
ZZZ_ADDRESSES,c_lastyear,,Integer,True,,
ZZZ_ADDRESSES,c_belongs_firstyear,,Integer,True,,
ZZZ_ADDRESSES,c_belongs_lastyear,,Integer,True,,
ZZZ_ADDRESSES,x_coord,,Double,True,,
ZZZ_ADDRESSES,y_coord,,Double,True,,
ZZZ_ADDRESSES,belongs1_ID,,Long,True,,
ZZZ_ADDRESSES,belongs1_Name,,Text,True,,
ZZZ_ADDRESSES,belongs1_Name_chn,,Text,True,,
ZZZ_ADDRESSES,belongs2_ID,,Long,True,,
ZZZ_ADDRESSES,belongs2_Name,,Text,True,,
ZZZ_ADDRESSES,belongs2_Name_chn,,Text,True,,
ZZZ_ADDRESSES,belongs3_ID,,Long,True,,
ZZZ_ADDRESSES,belongs3_Name,,Text,True,,
ZZZ_ADDRESSES,belongs3_Name_chn,,Text,True,,
ZZZ_ADDRESSES,belongs4_ID,,Long,True,,
ZZZ_ADDRESSES,belongs4_Name,,Text,True,,
ZZZ_ADDRESSES,belongs4_Name_chn,,Text,True,,
ZZZ_ADDRESSES,belongs5_ID,,Long,True,,
ZZZ_ADDRESSES,belongs5_Name,,Text,True,,
ZZZ_ADDRESSES,belongs5_Name_chn,,Text,True,,
ZZZ_BELONGS_TO,c_belongs_to,Primary Key,Long,False,,
ZZZ_BELONGS_TO,c_addr_id,Primary Key,Long,False,,
ZZZ_BELONGS_TO,c_firstyear,Primary Key,Integer,False,,
ZZZ_BELONGS_TO,c_lastyear,Primary Key,Integer,False,,
ZZZ_DISTANCE_DATA,c_personid,Primary Key,Long,False,,
ZZZ_DISTANCE_DATA,c_assoc_id,Primary Key,Long,False,,
ZZZ_DISTANCE_DATA,c_distance,,Double,False,,
ZZZ_DY_DATA,c_personid,,Long,False,,
ZZZ_DY_DATA,c_dy,,Integer,False,,
ZZZ_NAMES,c_personid,,Long,True,,
ZZZ_NAMES,c_name,,Text,True,,
ZZZ_NAMES,c_name_chn,,Text,True,,
