AccessTblNm,AccessFldNm,ForeignKey,ForeignKeyBaseField,RelationName
EVENTS_ADDR,c_yr_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESEVENTS_ADDR
EVENTS_DATA,c_addr_id,ADDR_CODES,c_addr_id,ADDR_CODESEVENTS_DATA1
EVENTS_DATA,c_day_ganzhi,GANZHI_CODES,c_ganzhi_code,GANZHI_CODESEVENTS_DATA
EVENTS_DATA,c_event_code,EVENT_CODES,c_event_code,{72298816-55AB-451B-8234-50B7C7938CA3}
EVENTS_DATA,c_event_code,EVENTS_ADDR,c_event_code,EVENTS_ADDREVENTS_DATA
EVENTS_DATA,c_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOEVENTS_DATA1
EVENTS_DATA,c_personid,BIOG_MAIN,c_personid,BIOG_MAINEVENTS_DATA
EVENTS_DATA,c_personid,EVENTS_ADDR,c_personid,EVENTS_ADDREVENTS_DATA
EVENTS_DATA,c_sequence,EVENTS_ADDR,c_sequence,EVENTS_ADDREVENTS_DATA
EVENTS_DATA,c_source,TEXT_CODES,c_textid,TEXT_CODESEVENTS_DATA1
EVENTS_DATA,c_yr_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESEVENTS_DATA
EVENT_CODES,c_addr_id,ADDR_CODES,c_addr_id,ADDR_CODESEVENT_CODES1
EVENT_CODES,c_dy,DYNASTIES,c_dy,DYNASTIESEVENT_CODES
EVENT_CODES,c_fy_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOEVENT_CODES
EVENT_CODES,c_fy_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESEVENT_CODES
EVENT_CODES,c_ly_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOEVENT_CODES1
EVENT_CODES,c_ly_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESEVENT_CODES1
EVENT_CODES,c_source,TEXT_CODES,c_textid,TEXT_CODESEVENT_CODES1
kinship_codes,c_kin_pair1,KINSHIP_CODES,c_kincode,KINSHIP_CODES_KIN_PAIR1
KINSHIP_CODES,c_kin_pair1,KINSHIP_CODES,c_kincode,KINSHIP_CODESKINSHIP_CODES
kinship_codes,c_kin_pair2,KINSHIP_CODES,c_kincode,KINSHIP_CODES_KIN_PAIR2
KINSHIP_CODES,c_kin_pair2,KINSHIP_CODES,c_kincode,KINSHIP_CODESKINSHIP_CODES1
kin_data,c_kin_code,KINSHIP_CODES,c_kincode,KIN_DATA_KIN_CODES
KIN_DATA,c_kin_code,KINSHIP_CODES,c_kincode,KINSHIP_CODESKIN_DATA
KIN_DATA,c_kin_id,BIOG_MAIN,c_personid,BIOG_MAINKIN_DATA1
kin_data,c_kin_id,BIOG_MAIN,c_personid,KIN_DATA_KIN_ID
KIN_DATA,c_personid,BIOG_MAIN,c_personid,BIOG_MAINKIN_DATA
kin_data,c_personid,BIOG_MAIN,c_personid,KIN_DATA_PERSON_ID
kin_data,c_source,TEXT_CODES,c_textid,KIN_DATA_SOURCE_TEXT_CODES
